input_param,cas_number,ParamDesc,input_unit,parameter_id,conversion,unit_solid,result_type,matrix_state,sample_fraction,sample_fraction_AC,result_value_type,result_speciation_id,result_speciation_AC,NEW_param_needed,NEW_speciation_needed,NEW_fraction_needed,NEW_protocol_needed,FLAG_AC_params_edit,FLAG_review,FLAG_notes_combined,ignore,result_offset,mapping_status
Sb-T,"","Antimony, total",mg/L,1047,1,"",2,1,19,19,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Sb-T_S,"","Antimony, Total in Sediment",mg/kg,1047,1,mg/kg,2,2,19,19,1,,,"","",,"",,TRUE,UNIT_REVIEW: EQWin unit 'mg/kg' vs AquaCache unit '',FALSE,0,mapped_existing_parameter
SCN-as-N-calc,"",Calculated Thiocyanate as N,mg/L,1008,1,"",2,1,,,3,,,"","",,"",,TRUE,SPEC: as N?,FALSE,0,mapped_existing_parameter
S-D,"","Sulphur, Dissolved",mg/L,1133,1,"",2,1,5,5,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
S-E,"","Sulphur, Extractable",mg/L,1133,1,"",2,1,6,6,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Secchi,"",Secchi disc depth,m,1158,1,"",1,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
SeCN,"","Selenocyanate [SeCN], as Se",µg/L,586,0.001,"",3,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Se-D,"","Selenium, dissolved",mg/L,1123,1,"",2,1,5,5,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Se-E,"","Selenium, extractable",mg/L,1123,1,"",2,1,6,6,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Se-IV,"7446-08,4","speciation - Selenium, tetravalent [Se IV]",µg/L,1436,0.001,"",3,1,5,5,1,,,Se-IV,"",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
sertaline,79559-970,Anti-Depressants,ng/l,1437,1,"",3,1,,,1,,,sertraline,"",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
