param_name,MethodSpeciation,SampleFraction,DataStream_group,CASNumber,group,subgroup,unit_default,unit_solid
Resistivity,No,No,Physical, ,physical,,Ω·m,
"Light, underwater incident",No,No,Physical, ,physical,,W/m²,
Delta oxygen-17/oxygen-16,Yes,No,Stable Isotopes, ,stable isotopes,,VSMOW,VSMOW
Delta oxygen-18/oxygen-16,Yes,No,Stable Isotopes, ,stable isotopes,,VSMOW,VSMOW
"Deuterium, delta",Yes,No,Stable Isotopes, ,stable isotopes,,VSMOW,VSMOW
Delta carbon-13/carbon-12,Yes,No,Stable Isotopes, ,stable isotopes,,VPDB,VPDB
Delta sulfur-34/sulfur-32,Yes,No,Stable Isotopes, ,stable isotopes,,V-CDT,V-CDT
Carbon-13/Carbon-12 ratio,Yes,No,Stable Isotopes, ,stable isotopes,,ratio,ratio
Deuterium/Hydrogen ratio,Yes,No,Stable Isotopes, ,stable isotopes,,ratio,ratio
Nitrogen-15/Nitrogen-14 ratio,Yes,No,Stable Isotopes, ,stable isotopes,,ratio,ratio
Oxygen-18/Oxygen-16 ratio,Yes,No,Stable Isotopes, ,stable isotopes,,ratio,ratio
"Strontium-87/Strontium-86, ratio",No,No,Stable Isotopes, ,stable isotopes,,ratio,ratio
Sulfur-34/Sulfur-32 ratio,Yes,No,Stable Isotopes, ,stable isotopes,,ratio,ratio
Uranium-234/Uranium-238 ratio,Yes,No,Radiochemical, ,radiochemical,,ratio,ratio
Anion/cation ratio,No,No,Physical, ,physical,,ratio,
Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],No,No,Physical, ,physical,,ratio,
Spectral slope ratio,No,No,Physical, ,physical,,ratio,
Salinity,No,No,Physical, ,physical,,PSU,
Turbidity,No,No,Physical, ,physical,,NTU,
Oxidation reduction potential (ORP),No,No,Physical, ,physical,,mV,
"Water equivalent, snow",No,No,Physical,,physical,,mm,
"Grain size, coarse sand (>=630 to 2000 um)",No,No,Physical, ,physical,,mm,
Particle size,No,No,Physical, ,physical,,mm,
"Particle size, 30 mesh, (0.59 mm)",No,No,Physical, ,physical,,mm,
"Particle size, 50 mesh, (0.297 mm)",No,No,Physical, ,physical,,mm,
"Particle size, coarse sediment (>75 um)",No,No,Physical, ,physical,,mm,
"Particle size, fine sediment (<75 um)",No,No,Physical, ,physical,,mm,
"Particle size, Sieve No. 10, 9 mesh, (2.00mm)",No,No,Physical, ,physical,,mm,
"Particle size, Sieve No. 100, 100 mesh, (0.150mm)",No,No,Physical, ,physical,,mm,
"Particle size, Sieve No. 12, 10 mesh, (1.70mm)",No,No,Physical, ,physical,,mm,
"Particle size, Sieve No. 200, 200 mesh, (0.075mm)",No,No,Physical, ,physical,,mm,
"Particle size, Sieve No. 270, 270 mesh, (0.053mm)",No,No,Physical, ,physical,,mm,
"Particle size, Sieve No. 400, 400 mesh, (0.038mm)",No,No,Physical, ,physical,,mm,
"Precipitation, total",No,No,Physical, ,physical,,mm,
"Precipitation, rain",No,No,Physical, ,physical,,mm,
Aluminum-27,No,No,Stable Isotopes, ,stable isotopes,,mg/l,mg/kg
Antimony-121,No,No,Stable Isotopes,14265-72-6,stable isotopes,,mg/l,mg/kg
Antimony-125,No,No,Stable Isotopes,14234-35-6,stable isotopes,,mg/l,mg/kg
Arsenic-75,No,No,Stable Isotopes,7440-38-2,stable isotopes,,mg/l,mg/kg
Barium-137,No,No,Stable Isotopes,13981-97-0,stable isotopes,,mg/l,mg/kg
Beryllium-9,No,No,Stable Isotopes, ,stable isotopes,,mg/l,mg/kg
Bismuth-209,No,No,Stable Isotopes, ,stable isotopes,,mg/l,mg/kg
Boron-11,No,No,Stable Isotopes, ,stable isotopes,,mg/l,mg/kg
Cadmium-114,No,No,Stable Isotopes,14041-58-8,stable isotopes,,mg/l,mg/kg
Calcium-43,No,No,Stable Isotopes,14333-06-3,stable isotopes,,mg/l,mg/kg
Carbon-13,Yes,No,Stable Isotopes, ,stable isotopes,,mg/l,mg/kg
Chlorine-35,No,No,Stable Isotopes,13981-72-1,stable isotopes,,mg/l,mg/kg
Chromium-52,No,No,Stable Isotopes,14092-98-9,stable isotopes,,mg/l,mg/kg
Chromium-53,No,No,Stable Isotopes,13981-78-7,stable isotopes,,mg/l,mg/kg
Cobalt-59,No,No,Stable Isotopes,7440-48-4,stable isotopes,,mg/l,mg/kg
Copper-63,No,No,Stable Isotopes,14191-84-5,stable isotopes,,mg/l,mg/kg
Copper-65,No,No,Stable Isotopes,14119-06-3,stable isotopes,,mg/l,mg/kg
Iron-57,No,No,Stable Isotopes,14762-69-7,stable isotopes,,mg/l,mg/kg
Lithium-7,No,Yes,Stable Isotopes,13982-05-3,stable isotopes,,mg/l,mg/kg
Magnesium-25,No,No,Stable Isotopes, ,stable isotopes,,mg/l,mg/kg
Manganese-55,No,No,Stable Isotopes,7439-96-5,stable isotopes,,mg/l,mg/kg
Mercury-202,No,No,Stable Isotopes, ,stable isotopes,,mg/l,mg/kg
Molybdenum-98,No,No,Stable Isotopes,14392-20-2,stable isotopes,,mg/l,mg/kg
Nickel-60,No,No,Stable Isotopes,13981-80-1,stable isotopes,,mg/l,mg/kg
Nitrogen-15,Yes,No,Stable Isotopes,14390-96-6,stable isotopes,,mg/l,mg/kg
Oxygen-18,Yes,No,Stable Isotopes,14797-71-8,stable isotopes,,mg/l,mg/kg
Phosphorus-31,No,No,Stable Isotopes, ,stable isotopes,,mg/l,mg/kg
Potassium-39,No,No,Stable Isotopes,14092-91-2,stable isotopes,,mg/l,mg/kg
Selenium-77,No,No,Stable Isotopes, ,stable isotopes,,mg/l,mg/kg
Selenium-82,No,No,Stable Isotopes, ,stable isotopes,,mg/l,mg/kg
Silicon-29,No,No,Stable Isotopes, ,stable isotopes,,mg/l,mg/kg
Silver-107,No,No,Stable Isotopes,14378-37-1,stable isotopes,,mg/l,mg/kg
Sodium-23,No,No,Stable Isotopes, ,stable isotopes,,mg/l,mg/kg
Strontium-86,No,No,Stable Isotopes,13982-14-4,stable isotopes,,mg/l,mg/kg
Strontium-88,No,No,Stable Isotopes,14119-10-9,stable isotopes,,mg/l,mg/kg
Sulfur-34,Yes,No,Stable Isotopes,13965-97-4,stable isotopes,,mg/l,mg/kg
Thallium-205,No,No,Stable Isotopes,14280-49-0,stable isotopes,,mg/l,mg/kg
Tin-118,No,No,Stable Isotopes, ,stable isotopes,,mg/l,mg/kg
Titanium-47,No,No,Stable Isotopes,14304-90-6,stable isotopes,,mg/l,mg/kg
Vanadium-51,No,No,Stable Isotopes,7440-62-2,stable isotopes,,mg/l,mg/kg
Zinc-66,No,No,Stable Isotopes,14378-33-7,stable isotopes,,mg/l,mg/kg
Cesium-134,No,No,Radiochemical,13967-70-9,radiochemical,,mg/l,mg/kg
Cesium-137,No,No,Radiochemical,10045-97-3,radiochemical,,mg/l,mg/kg
Cobalt-60,No,No,Radiochemical,10198-40-0,radiochemical,,mg/l,mg/kg
Iodine-129,No,Yes,Radiochemical,15046-84-1,radiochemical,,mg/l,mg/kg
Iodine-131,No,No,Radiochemical,10043-66-0,radiochemical,,mg/l,mg/kg
Lead-210,No,No,Radiochemical,14255-04-0,radiochemical,,mg/l,mg/kg
Polonium-210,No,No,Radiochemical,13981-52-7,radiochemical,,mg/l,mg/kg
Radium-226,No,No,Radiochemical,13982-63-3,radiochemical,,mg/l,mg/kg
Radium-228,No,No,Radiochemical,15262-20-1,radiochemical,,mg/l,mg/kg
Radon-222,No,No,Radiochemical,14859-67-7,radiochemical,,mg/l,mg/kg
Strontium-90,No,No,Radiochemical,10098-97-2,radiochemical,,mg/l,mg/kg
Thorium-232,No,No,Radiochemical,7440-29-1,radiochemical,,mg/l,mg/kg
Tritium,Yes,No,Radiochemical,10028-17-8,radiochemical,,mg/l,mg/kg
Uranium,No,No,Radiochemical,7440-61-1,radiochemical,,mg/l,mg/kg
Uranium-238,Yes,No,Radiochemical,7440-61-1 ,radiochemical,,mg/l,mg/kg
Alkalinity,Yes,Yes,Physical, ,physical,,mg/l,
"Biochemical oxygen demand, standard conditions",No,No,Physical, ,physical,,mg/l,
"Carbonaceous biochemical oxygen demand, non-standard conditions",No,No,Physical, ,physical,,mg/l,
"Carbonaceous biochemical oxygen demand, standard conditions",No,No,Physical, ,physical,,mg/l,
Chemical oxygen demand,No,No,Physical, ,physical,,mg/l,
Dissolved oxygen (DO),No,No,Physical, ,physical,,mg/l,
Fixed dissolved solids,No,No,Physical, ,physical,,mg/l,
Fixed suspended solids,No,No,Physical, ,physical,,mg/l,
Hardness,Yes,Yes,Physical, ,physical,,mg/l,mg/kg
Indomethacin,No,No,Organic, ,organics,pharmaceuticals,mg/l,mg/kg
Settleable solids,No,No,Physical, ,physical,,mg/l,
Suspended Sediment Concentration (SSC),No,No,Physical, ,physical,,mg/l,
Total dissolved solids,No,No,Physical, ,physical,,mg/l,
Total fixed solids,No,No,Physical, ,physical,,mg/l,
Total solids,No,No,Physical, ,physical,,mg/l,
Total suspended solids,No,No,Physical, ,physical,,mg/l,
Total volatile solids,No,No,Physical, ,physical,,mg/l,
Volatile Dissolved Solids,No,No,Physical, ,physical,,mg/l,
Volatile suspended solids,No,No,Physical, ,physical,,mg/l,
"2,2',3,4,4',5'-Hexabromodiphenyl ether",No,No,"Organics, BDEs",182677-30-1,organics,brominated diphenyl ethers,mg/l,mg/kg
"2,2',4,4'-Tetrabromodiphenyl ether",No,No,"Organics, BDEs",5436-43-1,organics,brominated diphenyl ethers,mg/l,mg/kg
"2,4,4'-Tribromodiphenyl ether",No,No,"Organics, BDEs",41318-75-6,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE 100L,No,No,"Organics, BDEs", ,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE 153L,No,No,"Organics, BDEs", ,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE 183L,No,No,"Organics, BDEs", ,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE 209L,No,No,"Organics, BDEs",562099-68-7,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE 28L,No,No,"Organics, BDEs", ,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE 47L,No,No,"Organics, BDEs", ,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE-003,No,No,"Organics, BDEs",101-55-3,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE-017,No,No,"Organics, BDEs",147217-75-2,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE-049,No,No,"Organics, BDEs", ,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE-066,No,No,"Organics, BDEs",189084-61-5,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE-071,No,No,"Organics, BDEs", ,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE-077,No,No,"Organics, BDEs", ,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE-085,No,No,"Organics, BDEs",182346-21-0,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE-099,No,No,"Organics, BDEs",60348-60-9,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE-100,No,No,"Organics, BDEs",189084-64-8,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE-119,No,No,"Organics, BDEs",189084-66-0,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE-126,No,No,"Organics, BDEs", ,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE-153,No,No,"Organics, BDEs",68631-49-2,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE-154,No,No,"Organics, BDEs",207122-15-4,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE-156,No,No,"Organics, BDEs",405237-85-6,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE-183,No,No,"Organics, BDEs", ,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE-184,No,No,"Organics, BDEs",117948-63-7,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE-190,No,No,"Organics, BDEs",189084-68-2,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE-194,No,No,"Organics, BDEs",85446-17-9,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE-197,No,No,"Organics, BDEs",117964-21-3,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE-206,No,No,"Organics, BDEs", ,organics,brominated diphenyl ethers,mg/l,mg/kg
BDE-207,No,No,"Organics, BDEs",437701-79-6,organics,brominated diphenyl ethers,mg/l,mg/kg
Decabromodiphenyl ether,No,No,"Organics, BDEs",1163-19-5,organics,brominated diphenyl ethers,mg/l,mg/kg
Octabromodiphenyl ether,No,No,"Organics, BDEs",32536-52-0,organics,brominated diphenyl ethers,mg/l,mg/kg
".alpha.,2,6-Trichlorotoluene",No,No,"Organics, Other",2014-83-7,organics,others,mg/l,mg/kg
".alpha.-Amino-2,3-dihydro-5-methyl-3-oxo-4-isoxazolepropanoic acid",No,No,"Organics, Other",77521-29-0,organics,others,mg/l,mg/kg
"1,1,1,2-Tetrachloroethane",No,No,"Organics, Other",630-20-6,organics,others,mg/l,mg/kg
"1,1,1-Trichloroethane",No,No,"Organics, Other",71-55-6,organics,others,mg/l,mg/kg
"1,1,2,2-Tetrachloroethane",No,No,"Organics, Other",79-34-5,organics,others,mg/l,mg/kg
"1,1,2-Trichloroethane",No,No,"Organics, Other",79-00-5,organics,others,mg/l,mg/kg
"1,1-Dichloroethane",No,No,"Organics, Other",75-34-3,organics,others,mg/l,mg/kg
"1,1-Dichloroethylene",No,No,"Organics, Other",75-35-4,organics,others,mg/l,mg/kg
"1,1-Dichloropropene",No,No,"Organics, Other",563-58-6,organics,others,mg/l,mg/kg
"1,2,3,4-Tetrachloro-5,6-dimethoxybenzene",No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
"1,2,3,4-Tetrachlorobenzene",No,No,"Organics, Other",634-66-2,organics,others,mg/l,mg/kg
"1,2,3,4-Tetrahydronaphthalene",No,No,"Organics, Other",119-64-2,organics,others,mg/l,mg/kg
"1,2,3,5-Tetrachlorobenzene",No,No,"Organics, Other",634-90-2,organics,others,mg/l,mg/kg
"1,2,3-Trichlorobenzene",No,No,"Organics, Other",87-61-6,organics,others,mg/l,mg/kg
"1,2,4,5-Tetrachlorobenzene",No,No,"Organics, Other",95-94-3,organics,others,mg/l,mg/kg
"1,2,4-Trichlorobenzene",No,No,"Organics, Other",120-82-1,organics,others,mg/l,mg/kg
"1,2,4-Trimethylbenzene",No,No,"Organics, Other",95-63-6,organics,others,mg/l,mg/kg
"1,2,6-Trimethylphenanthrene",No,No,"Organics, Other",30436-55-6,organics,others,mg/l,mg/kg
"1,2-Dichlorobenzene-d4",No,No,"Organics, Other",2199-69-1,organics,others,mg/l,mg/kg
"1,2-Dichloroethane",No,No,"Organics, Other",107-06-2,organics,others,mg/l,mg/kg
"1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-",No,No,"PFAS,Perfluorinated Alkyl Substance",375-92-8,organics,PFAS,mg/l,mg/kg
"1,2-Dichloroethane-d4",No,No,"Organics, Other",17060-07-0,organics,others,mg/l,mg/kg
"1,2-Dichloropropane",No,No,"Organics, Other",78-87-5,organics,others,mg/l,mg/kg
"1,2-Dimethylnaphthalene",No,No,"Organics, Other",573-98-8,organics,others,mg/l,mg/kg
"1,2-Diphenylhydrazine",No,No,"Organics, Other",122-66-7,organics,others,mg/l,mg/kg
"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran",No,No,"Organics, Other",1222-05-5,organics,others,mg/l,mg/kg
"1,3,5-Trichlorobenzene",No,No,"Organics, Other",108-70-3,organics,others,mg/l,mg/kg
"1,3,5-Trimethylbenzene",No,No,"Organics, Other",108-67-8,organics,others,mg/l,mg/kg
"1,3-Dichlorobenzene",No,No,"Organics, Other",541-73-1,organics,others,mg/l,mg/kg
"1,4,6,7-Tetramethylnaphthalene",No,No,"Organics, Other",13765-09-8,organics,others,mg/l,mg/kg
"1,4-Dichlorobenzene-d4",No,No,"Organics, Other",3855-82-1,organics,others,mg/l,mg/kg
"1,4-Difluorobenzene",No,No,"Organics, Other",540-36-3,organics,others,mg/l,mg/kg
"1,6,7-Trimethylnaphthalene",No,No,"Organics, Other",2245-38-7,organics,others,mg/l,mg/kg
"1,7-Dimethylfluorene",No,No,"Organics, Other",442-66-0,organics,others,mg/l,mg/kg
"1,7-Dimethylphenanthrene",No,No,"Organics, Other",483-87-4,organics,others,mg/l,mg/kg
"1,8-Dimethylphenanthrene",No,No,"Organics, Other",7372-87-4,organics,others,mg/l,mg/kg
12-Chlorodehydroabietic acid,No,No,"Organics, Other",65310-45-4,organics,others,mg/l,mg/kg
14-Chlorodehydroabietic acid,No,No,"Organics, Other",65281-76-7,organics,others,mg/l,mg/kg
1-Butanol,No,No,"Organics, Other",71-36-3,organics,others,mg/l,mg/kg
1-Methylchrysene,No,No,"Organics, Other",3351-28-8,organics,others,mg/l,mg/kg
1-Methylnaphthalene,No,No,"Organics, Other",90-12-0,organics,others,mg/l,mg/kg
1-Methylphenanthrene,No,No,"Organics, Other",832-69-9,organics,others,mg/l,mg/kg
1-Naphthol-d8,No,No,"Organics, Other",207569-03-7,organics,others,mg/l,mg/kg
1-Pentanol,No,No,"Organics, Other",71-41-0,organics,others,mg/l,mg/kg
"1-Phenanthrenecarboxylic acid, 1,2,3,4,4a,4b,5,9,10,10a-decahydro-1,4a-dimethyl-7-(1-methylethyl)-, (1R-(1.alpha.,4a.beta., 4b.alpha.,10a.alpha.))-",No,No,"Organics, Other",79-54-9,organics,others,mg/l,mg/kg
1-Propanol,No,No,"Organics, Other",71-23-8,organics,others,mg/l,mg/kg
2-(Thiocyanomethylthio)Benzothiazole,No,No,"Organics, Other",64441-45-8,organics,others,mg/l,mg/kg
"2,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene",No,No,"Organics, Other",5566-34-7,organics,others,mg/l,mg/kg
"2,2'-[1,2 ethanediylbis(oxy)]bis-ethanol diacetate",No,No,"Organics, Other",112-27-6,organics,others,mg/l,mg/kg
"2,2-Dichloropropane",No,No,"Organics, Other",594-20-7,organics,others,mg/l,mg/kg
"2,3,4,5- & 2,3,5,6- Tetrachlorophenol",No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
"2,3,4,5-Tetrachlorophenol",No,No,"Organics, Other",4901-51-3,organics,others,mg/l,mg/kg
"2,3,4,6-Tetrachlorophenol",No,No,"Organics, Other",58-90-2,organics,others,mg/l,mg/kg
"2,3,4,6-Tetrachlorophenol mixt. with 2,3,5,6-Tetrachlorophenol",No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
"2,3,4-Trichlorophenol",No,No,"Organics, Other",15950-66-0,organics,others,mg/l,mg/kg
"2,3,5,6-Tetrachlorophenol",No,No,"Organics, Other",935-95-5,organics,others,mg/l,mg/kg
"2,3,5-Trichlorophenol",No,No,"Organics, Other",933-78-8,organics,others,mg/l,mg/kg
"2,3,6-Trichlorophenol",No,No,"Organics, Other",933-75-5,organics,others,mg/l,mg/kg
"2,3,6-Trichlorotoluene",No,No,"Organics, Other",2077-46-5,organics,others,mg/l,mg/kg
"2,3,6-Trimethylnaphthalene",No,No,"Organics, Other",829-26-5,organics,others,mg/l,mg/kg
"2,3-Dichlorophenol",No,No,"Organics, Other",576-24-9,organics,others,mg/l,mg/kg
"2,4- & 2,5-Dichlorophenol",No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
"2,4,5-Trichlorotoluene",No,No,"Organics, Other",6639-30-1,organics,others,mg/l,mg/kg
"2,4,6-Tribromophenol",No,No,"Organics, Other",118-79-6,organics,others,mg/l,mg/kg
"2,4,6-Trinitro-5-tert-butyl-m-xylene",No,No,"Organics, Other",81-15-2 ,organics,others,mg/l,mg/kg
"2,4-Dichlorophenol mixt. with 2,5-Dichlorophenol",No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
"2,4-Dichlorophenylacetic acid",No,No,"Organics, Other",19719-28-9,organics,others,mg/l,mg/kg
"2,4-Dimethyldibenzothiophene",No,No,"Organics, Other",31317-18-7,organics,others,mg/l,mg/kg
"2,4-Dimethylphenol",No,No,"Organics, Other",105-67-9,organics,others,mg/l,mg/kg
"2,4-Dinitrophenol",No,No,"Organics, Other",51-28-5,organics,others,mg/l,mg/kg
"2,4-Dinitrotoluene",No,No,"Organics, Other",121-14-2,organics,others,mg/l,mg/kg
"2,5-Dibromobenzoic Acid",No,No,"Organics, Other",610-71-9,organics,others,mg/l,mg/kg
"2,6-Dichlorophenol",No,No,"Organics, Other",87-65-0,organics,others,mg/l,mg/kg
"2,6-Dimethylnaphthalene",No,No,"Organics, Other",581-42-0,organics,others,mg/l,mg/kg
"2,6-Dimethylnaphthalene-D12",No,No,"Organics, Other",350820-12-1,organics,others,mg/l,mg/kg
"2,6-Dimethylphenanthrene",No,No,"Organics, Other",17980-16-4,organics,others,mg/l,mg/kg
"2,6-Dinitrotoluene",No,No,"Organics, Other",606-20-2,organics,others,mg/l,mg/kg
2-Butanol,No,No,"Organics, Other",78-92-2,organics,others,mg/l,mg/kg
"2-Chloro-4,6-diamino-s-triazine",No,No,"Organics, Other",3397-62-4,organics,others,mg/l,mg/kg
2-Chloroethylvinylether,No,No,"Organics, Other",256471-05-3,organics,others,mg/l,mg/kg
2-Chloronaphthalene,No,No,"Organics, Other",91-58-7,organics,others,mg/l,mg/kg
2-Chlorophenol-d4,No,No,"Organics, Other",93951-73-6,organics,others,mg/l,mg/kg
2-Choro-6-ethylamino-4-amino-s-triazine,No,No,"Organics, Other",1007-28-9,organics,others,mg/l,mg/kg
2-Fluorobiphenyl,No,No,"Organics, Other",321-60-8,organics,others,mg/l,mg/kg
2-Methylanthracene,No,No,"Organics, Other",613-12-7,organics,others,mg/l,mg/kg
2-Methyldibenzothiophenes/3-Methyldibenzothiophenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
2-Methylfluorene,No,No,"Organics, Other",1430-97-3,organics,others,mg/l,mg/kg
2-Methylnaphthalene,No,No,"Organics, Other",91-57-6,organics,others,mg/l,mg/kg
2-Methylnaphthalene-D10,No,No,"Organics, Other",7297-45-2,organics,others,mg/l,mg/kg
2-Methylphenanthrene,No,No,"Organics, Other",2531-84-2,organics,others,mg/l,mg/kg
"3,3'-Dichlorobenzidine",No,No,"Organics, Other",91-94-1,organics,others,mg/l,mg/kg
"3,4,5-Trichlorophenol",No,No,"Organics, Other",609-19-8,organics,others,mg/l,mg/kg
"3,4-Dichlorophenol",No,No,"Organics, Other",95-77-2,organics,others,mg/l,mg/kg
"3,5-Dichlorobenzoic acid",No,No,"Organics, Other",51-36-5,organics,others,mg/l,mg/kg
"3,5-Dichlorophenol",No,No,"Organics, Other",591-35-5,organics,others,mg/l,mg/kg
"3,6-Dimethylphenanthrene",No,No,"Organics, Other",1576-67-6,organics,others,mg/l,mg/kg
3-Iodo-2-propynyl butyl carbamate,No,No,"Organics, Other",55406-53-6,organics,others,mg/l,mg/kg
3-Methylcholanthrene,No,No,"Organics, Other",56-49-5,organics,others,mg/l,mg/kg
3-Methylfluoranthene/Benzo[a]fluorene,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
3-Methylphenanthrene,No,No,"Organics, Other",832-71-3,organics,others,mg/l,mg/kg
"3-Pyridinecarboxamide, N-(2,4-difluorophenyl)-2-[3-(trifluoromethyl)phenoxy]-",No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
"4,4'-Dibromobiphenyl",No,No,"Organics, Other",92-86-4,organics,others,mg/l,mg/kg
"4,4'-Isopropylidenediphenol",No,No,"Organics, Other",1980-05-07,organics,others,mg/l,mg/kg
"4,6-Dimethyldibenzothiophene",No,No,"Organics, Other",1207-12-1,organics,others,mg/l,mg/kg
4-Methyl-2-pentanol,No,No,"Organics, Other",108-11-2,organics,others,mg/l,mg/kg
"4-methyl-6-(2-methyl-5-propan-2-ylphenyl)-2-(5-propan-2-yl-1H-indazol-4-yl)-7,8-dihydro-5H-1,6-naphthyridine",No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
4-Nonylphenol monoethoxylates,No,No,"Organics, Other",104-35-8,organics,others,mg/l,mg/kg
4-Nonylphenol pentaethoxylates,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
4-Nonylphenol tetraethoxylates,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
4-Nonylphenol triethoxylate,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
"5,9-Dimethylchrysene",No,No,"Organics, Other",139493-40-6,organics,others,mg/l,mg/kg
5-Methylchrysene/6-Methylchrysene,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
"6-Acetyl-1,1,2,4,4,7-hexamethyltetralin",No,No,"Organics, Other",1506-02-1,organics,others,mg/l,mg/kg
"7,12-Dimethylbenz[a]anthracene",No,No,"Organics, Other",57-97-6,organics,others,mg/l,mg/kg
7-Methylbenzo[a]pyrene,No,No,"Organics, Other",63041-77-0,organics,others,mg/l,mg/kg
8(14)-Abietenic acid,No,No,"Organics, Other",19407-37-5,organics,others,mg/l,mg/kg
"9,10-Dichlorostearic Acid",No,No,"Organics, Other",5829-48-1,organics,others,mg/l,mg/kg
9-Methylphenanthrene/4-Methylphenanthrene,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Abietic acid,No,No,"Organics, Other",514-10-3,organics,others,mg/l,mg/kg
Acebutolol,No,No,"Organics, Other",37517-30-9,organics,others,mg/l,mg/kg
Acenaphthene,No,No,"Organics, Other",83-32-9,organics,others,mg/l,mg/kg
Acenaphthene-d10,No,No,"Organics, Other",15067-26-2,organics,others,mg/l,mg/kg
Acenaphthylene,No,No,"Organics, Other",208-96-8,organics,others,mg/l,mg/kg
Acenaphthylene-d8,No,No,"Organics, Other",93951-97-4,organics,others,mg/l,mg/kg
Acesulfame,No,No,"Organics, Other",33665-90-6,organics,others,mg/l,mg/kg
Acetaldehyde,No,No,"Organics, Other",75-07-0,organics,others,mg/l,mg/kg
Acetaminophen,No,No,"Organics, Other",103-90-2,organics,others,mg/l,mg/kg
Acridine,No,No,"Organics, Other",260-94-6,organics,others,mg/l,mg/kg
Acridine-d9,No,No,"Organics, Other",34749-75-2,organics,others,mg/l,mg/kg
Adenosine triphosphate,No,No,"Organics, Other",56-65-5,organics,others,mg/l,mg/kg
Adsorbable organic halides,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Amoxicillin,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Anthracene,No,No,"Organics, Other",120-12-7,organics,others,mg/l,mg/kg
Aspartame,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Aspirin,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Benz[a]anthracene,No,No,"Organics, Other",56-55-3,organics,others,mg/l,mg/kg
Benzaldehyde,No,No,"Organics, Other",100-52-7,organics,others,mg/l,mg/kg
Benzene,No,No,"Organics, Other",71-43-2,organics,others,mg/l,mg/kg
"Benzene, 1,2-dichloro-4-methyl-",No,No,"Organics, Other",95-75-0,organics,others,mg/l,mg/kg
"Benzene, 1-bromo-2-(trifluoromethyl)-",No,No,"Organics, Other",392-83-6,organics,others,mg/l,mg/kg
"Benzeneacetic acid, .alpha.-methyl-4-(2-methylpropyl)-",No,No,"Organics, Other",15687-27-1,organics,others,mg/l,mg/kg
Benzidine,No,No,"Organics, Other",92-87-5,organics,others,mg/l,mg/kg
Benzo(a)anthracene-D12,No,No,"Organics, Other",1718-53-2,organics,others,mg/l,mg/kg
Benzo(b)fluoranthene,No,No,"Organics, Other",205-99-2,organics,others,mg/l,mg/kg
Benzo(b)fluoranthene-D12,No,No,"Organics, Other",93951-98-5,organics,others,mg/l,mg/kg
